"organisation_name","title","awarded_value","description"
"Hampshire County Council","Hampshire & Southampton Advocacy Services - AWARD",5396359,"Hampshire County Council (the 'Council') invite suitably experienced providers to tender for the provision of a range of statutory and non-statutory advocacy service provision for vulnerable adults and children covering Hampshire and the city of Southampton.
      Hampshire County Council is conducting the procurement for both lots of service provision under the """"Light Touch Regime"""" set out in Part 2, Chapter 3, Section 7 of the Public Contracts Regulations 2015, in accordance with the requirements of Hampshire County Council's Contract Standing Orders. The  procurement will consist of a single stage Open procedure. The service provision consists of 2 lots and Tenderers are required to bid on the basis that, if they are successful, they will deliver both lots. The initial contract term for Lot 1 Hampshire is 2 years, with the option to extend the contract at the discretion of Hampshire County Council, for a further period or periods not exceeding 2 years. The services will be procured through 2 single lots each provided under separate contracts to both the Council (Lot 1 Hampshire) and to Southampton City Council (Lot 2 Southampton) , the Council acting as lead authority for the procurement.  
      
      Advocacy  services to be delivered in both Lot 1 (Hampshire) and Lot 2 (Southampton) will include:
      · Independent Mental Health Advocacy (IMHA) as determined by the Mental Health Act 1983 (MHA) 
      · Independent Mental Capacity Act Advocacy (IMCA) including Deprivation of Liberty Safeguards (DOLS) IMCA, as determined by the Mental Capacity Act 2005 (MCA) and
      from 1st October 2020 - IMCA for Liberty Protection Safeguards (LPS) as introduced by the Mental Capacity Amendment Act 2019.
      · Paid Relevant Person's Representative (Paid RPR) as determined by the MCA.
      · Care Act Advocacy, as determined by the Care Act 2014.
       
      Additional advocacy  services to be delivered only in Lot 1 (Hampshire) will include:
      · Children's Statutory Advocacy, to be delivered under a range of legislation.
      · Non-statutory Advocacy for Adults
      · Non-statutory General Mental Health Advocacy
      · NHS Independent Health Complaints Advocacy Service: 
      
      Additional advocacy  services to be delivered only in Lot 2 (Southampton) will include:
      · Advocacy to support those with Special Educational Needs under the Children and Families Act (2014).
      ·Non-statutory advocacy to support Adults aged 18+. 
      ·Substance Use Disorder Services (SUDS) Advocacy
      ·Learning Disabilities Housing Advocacy
      
      The advocacy can be provided by instruction, or non-instructed when the person lacks the capacity or the competence, in the case of a child, to instruct. 
      The advocacy will include 1:1 work, group advocacy and support to enable peer advocacy and self advocacy.
      For specific details about the services being procured please see Document 6 Service Specification (Hampshire & Southampton) attached to this project.
      
      The anticipated service commencement date..."
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","Liaison and Diversion Services in Surrey",5644825,"NHS England South (South East) sought to commission Liaison and Diversion Services in Surrey.

There are high numbers of people with mental health, learning disability, substance misuse and other psychosocial vulnerabilities who enter the youth and criminal justice systems, who could be dealt with in the community, or diverted from the justice pathway altogether, as well as requiring early identification should custodial sentences be applied.

The aim of the L&D Service is to provide early intervention for vulnerable people (adults, children & young people) as they come to the attention of the criminal justice system.  The service will provide a prompt response to concerns raised by the police, youth offending teams, court staff or any other referral process (including self-referral), offering  critical information to decision-makers in the justice system, in real time, when it comes to charging and sentencing.  The service will also act as a point of referral and follow-up for service users, to ensure they can access, and are supported to attend, community treatment and rehabilitation appointments.
 
The primary focus of this service is improved outcomes for service users, not financial savings.

Key outcomes include:
•	Improved access to healthcare and support services for vulnerable individuals and a reduction in health inequalities, prioritising female detained persons and those under the age of 18.
•	Diversion of individuals, where appropriate, out of the youth and criminal justice systems into health, social care, education and training, or other supportive services
•	To deliver efficiencies within the youth and criminal justice systems 
•	To reduce re-offending and/or escalation of offending behaviours

The service specification expanded on these outcomes, outlining what commissioners required of providers through the life of the contract
 
The total contract value of Liaison and Diversion Services is £1,128,965 per annum, with a total contract lifecycle value of £3,386,895 over 3 years, and a possible extension of an additional 2 years.  The initial 3 year period will commence from 01 April 2020.

This procurement was carried out by NHS South, Central and West Commissioning Support Unit (SCW) on behalf of the Commissioners."
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","NHSE SW - Healthcare Services to Vinney Green Secure Children's Home",5875000,"NHS England South West (the Commissioner) is recommissioning Healthcare Services to Vinney Green Secure Children's Home. Adverts were placed on Contracts Finder and the Find a Tender Service and an Open procedure was undertaken in July 2022. No bids were received. 

Vinney Green Secure Children's Home (SCH) is based in South Gloucestershire and accommodates up to 24 children and young people (CYP) of both sexes, aged between 10 and 17, at any one time. The population is transient (short average length of stay), dynamic (high rates of turnover), heterogeneous (varied reasons for referral and unique circumstances) and is drawn from a large population (CYP can be referred from anywhere in the United Kingdom). 

The home is licensed for operation by OFSTED and it contracts with the Youth Custody Service to provide placements for young people. It is subject to regular inspection by a range of government and local authority approved officials, to ensure the highest standards are maintained at all times. The home is managed by South Gloucestershire Council's Department for Children, Adults and Health. 
  
Length of stay in the Home is highly variable and some young people will start sentences that will see them transition to adult custodial settings. 

NHS England is responsible for commissioning all health services in the Home and for the clinical governance of the services provided. 

The healthcare services provision will include:
•	General Medical Services
•	Mental Health Services
•	Primary Care Nursing
•	Public Health Programmes
•	Emotional Wellbeing services 
•	Contraception and sexual health advice services
•	Substance misuse services - Psychosocial and pathways to clinical treatment.
•	Screening and immunisation
•	Diagnostic services
•	Smoking Cessation Services
•	Management of long-term conditions
•	Health promotion and prevention

The service will facilitate access to community based secondary care services, including dentistry and optometry.

It is vital that there is continuity of provision for these services and, as there are no concerns with the quality or value for money of the current service, the Commissioner has taken the decision to re-award the contract to Avon & Wiltshire Mental Health Partnership Trust, the incumbent provider. 

The contract term will be for 7 years, with a total contract value of £5,875,000.00. 

The new contract is due to commence on 1st April 2023. 

This process has been carried out by NHS South, Central and West Commissioning Support Unit (SCW) on behalf of the Commissioners."
"London Borough of Bromley","Substance Misuse Services",7487220,"Substance Misuse Services. Lot 1 Adults. Lot 2 Young People. The procurement documents are available for unrestricted and full direct access free of charge at https://procontract.due-north.com"
"Isle of Wight Council","An Integrated Community Substance Misuse Recovery Service for the Isle of Wight",7504424,"The Authority is seeking tenders for the provision of an integrated, community substance misuse recovery services on the Isle of Wight for adults and young people. This will provide an opportunity to maximise use of resources with the view to improved outcomes for all Isle of Wight residents.

The integrated service will consist of:

- an adult substance misuse treatment service responsive to identified local needs (to include alcohol, opiate, non-opiates and other drugs such as psychoactive substances, prescription and over the counter drugs as well as image and performance enhancing drugs) which will provide both medical and psychosocial interventions,

- a young people's substance misuse service (for people up to the age of 25 years),

- a pharmacy drug treatment service.

These services will be recovery-oriented, outcomes-focussed, evidence based and tailored to meet the needs of individuals and communities to empower people to lead drug/alcohol free lives where possible. The service will need to be proactive and responsive to new trends in substance misuse (illegal, legal or other) throughout the life of the contract.

The maximum budget available for this contract is up to 1 351 832 GBP. Tenders submitted above this budget will be rejected, however, potential suppliers are able to submit tenders below this amount.
"
"Lancashire County Council","Lancashire Children and Young People's substance misuse treatment services",7700000,"The commission of: Children and Young People's Substance Misuse Treatment Services.

Lancashire County Council has a responsibility to make sure we do those things that will make the most difference in reducing poverty, discrimination and inequality, and improving the quality of life for local people.

This service is being commissioned at a time of great change and uncertainty in public finances. As such the contents of the Service Specification will be subject to review over the lifetime of the contract. Lancashire County Council expects a flexible and community focussed approach by the provider in such circumstances.

The service specification describes delivery of prevention orientated, outcome focussed, high quality and person centred services for young people across the Lancashire who may be at risk of, or are currently experiencing problematic substance misuse."
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","NHS England and NHS Improvement South East - Integrated Health and Emotional Wellbeing Service to Lansdowne Secure Children's Home (East Sussex) and Swanwick Lodge Secure Children's Home (Hampshire)",8293516,"NHS England and NHS Improvement (NHSEI) South East (the Commissioner) sought to commission a prime provider for the provision of Integrated Health and Emotional Wellbeing Services to the children and young people resident at two Secure Children's Homes (SCH) in the South East. The procurement was split into two lots:

• Lansdowne SCH in East Sussex (Lot 1)
• Swanwick Lodge in Hampshire (Lot 2)

The provision will offer at least equivalent access and quality to services in the local community.

NHSEI will hold a contract with the prime provider, who in turn can directly provide care and/or subcontract care to other specialist providers. The prime provider will also be responsible for ensuring that all of the health and emotional wellbeing services operating within the SCH work in an integrated way, delivering seamless care pathways.

Lansdowne SCH is a mixed-sex 12 bed establishment in East Sussex for young people aged 10-17. The SCH is operated by East Sussex County Council, with a registered homes manager and 24 hour care staff available.

Swanwick Lodge SCH is a mixed-sex 16 bed establishment in Hampshire for young people aged 10-17. The SCH is operated by Hampshire County Council, with a registered homes manager and 24 hour care staff available.

Both SCHs also have an on-site school that provides education to the young people whilst they are at the home. The provider will be required to work effectively with key partners to deliver a cohesive experience of care for the children and young people.

The healthcare services that are required 'on-site' include (please see the service specification for further information and full list of services required):
•	General Medical Services
•	Mental health services
•	Primary care nursing
•	Emotional wellbeing services
•	Contraception and sexual health advice services
•	Substance misuse services - Psychosocial and pathways to clinical treatment
•	Screening and immunisation
•	Diagnostic services
•	Smoking cessation services
•	Management of long term conditions
•	Health promotion and prevention
•	IM&T provision
•	Appropriate administrative and data management support (including data intelligence and reporting resource; date and intelligence analysis)
•	Blood Borne Viruses

The healthcare provision will also facilitate (but not be responsible for directly providing) access to community based dentists and opticians for the children and young people, with the support of SCH care staff.

The contracts are due to commence on the 1st July 2021, with contract duration of 7 years.

The maximum contract values for the services are:
- Lot 1 Lansdowne SCH = maximum annual contract value £520,000, with a maximum total contract lifecycle value of £3,640,000
- Lot 2 Swanwick Lodge = maximum annual contract value £665,000, with a maximum total contract lifecycle value of £4,655,000

This procurement was being carried out by NHS South, Central and West Commissioning Support Unit (SCW) on behalf of the Commissioners."
"Lancashire County Council","Young People Substance Misuse Prevention and Treatment Service",8450945,"Lancashire County Council (LCC) wishes to procure aa strategic partner to deliver Substance Misuse prevention and treatment service to Children and Young People across the county.  This service is funded by Public Health Service in Lancashire.
The Provider will be required to deliver Substance Misuse prevention and treatment service to Children and Young People.

The service is aimed to deliver prevention, treatment and deliver positive outcomes focussed interventions. As a result, it seeks to empower the successful Provider to use evidence-based practice to innovate and develop staff to deliver a fit for purpose service for our children and young people, families, and communities.  

The Authority understands that substance use patterns are constantly changing, the successful provider must be sensitive to the evolving nature of substance use and develop effective, sustainable, and timely responses based on evidenced need. 

Contract term - Initial period of three years with a right to extend the contract for up to 48-months beyond the initial term by any number of defined periods as long as the total contract term does not exceed seven years.
 
Maximum value for Year 1: up to £1,209,643.00
Maximum value over 7 years: up to £8,467,501.00

We advise interested tenderers to register and familiarise themselves with the etendering system used, Oracle Fusion.

https://www.lancashire.gov.uk/fusion-supplier-portal/
For system support and advice on bids and tenders, contact the LCC Procurement team - PIM@Lancashire.gov.uk 01772 534966 option 3"
"Herefordshire Council","Herefordshire Substance Misuse Services",8852036,"Herefordshire Council is seeking tenders for the delivery of Recovery-Oriented Substance Misuse Services to adults and young people, in community and criminal justice settings. The focus of these services is recovery from all substances of addiction, utilising pharmacological, psychosocial and recovery support mechanisms and ensuring individuals are capable of sustaining recovery, in the community, post treatment. All related services are included in this tender, except supervised consumption and pharmacy needle exchange. The supervised consumption and pharmacy needle exchange service will commence in year 2 of the contract with additional funding to be agreed. The successful bidder will be expected to provide this service from a commencement date to be advised.   With a population of approximately 184,000, Herefordshire represents an interesting challenge to the delivery of services, not least because of its rurality, containing small, diverse and widely separated communities. Substance misuse issues are distinct with an ageing opiate dependent population, high levels of harmful drinking patterns and alcohol dependence, with concomitant issues including domestic violence and children safeguarding. There is a sub-culture of novel psychoactive substance use, mixed with other substances.    This is a competitive procurement in accordance with the open process under the EU Procurement Directives and implemented in English Law in the Public Contracts Regulations 2006 (SI 2006 No.5) (PCR 2006), due to regulation 118 of the Public Contracts Regulations 2015 (SI 2015 No. 102)."
"HAMPSHIRE COUNTY COUNCIL","AS15674 Enablement and Progression (Community Based)",9623982,"This service will provide a range of effective support and enablement services in four geographical lots in Hampshire. The service will replace a number of current services that include the Community Support Service, SAIL and Launchpad. The provider will work closely with the County Council to develop an effective enablement pathway service that is outcomes focused and able to meet a variety of needs.  

The service will be directed at Adults aged between 18-65. This will include young people coming through transition (18 plus). This will include people with Learning Disability, Physical Disability, Mental Health issues, Substance Use issues and Autism Spectrum Conditions.  Access to the services will be via a Care Act 2014 assessment. Most service users will be people who live at home with family or other carers or who live on their own. Some may have recently followed some level of transition where they have 'stepped down' from other accommodation-based services such as supported housing, extra care or residential care into their own accommodation."
"London Borough of Barking and Dagenham","Contract Award Young People and Adult Substance Misuse Service",9673274,"Award of Contracts for the Young People's (Subwize) and Adults Substance Misuse (Drug and Alcohol) Service respectively"
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","NHS England South (South West) - Provision of Custody and Courts Referral Service across Avon and Somerset",9750000,"NHS England South (South West) as Lead Commissioner and the Avon and Somerset Office of the Police and Crime Commissioner (OPPC) as Co-Commissioner sought to jointly commission Custody and Courts Referral Service across Avon and Somerset. The procurement was carried out by NHS South, Central & West Commissioning Support Unit (SCWCSU) on behalf of the Commissioners. 

There are high numbers of people with mental health, learning disability, substance misuse and other psychosocial vulnerabilities who enter the youth  and criminal justice systems, who could be dealt with in the community, or diverted from the justice pathway altogether.

Across Avon and Somerset over recent years, two separate services have been in place to support these people, namely Liaison and Diversion (L&D) and the Arrest Intervention Referral Services (AIRS). These two services have been previously commissioned by NHS England and the OPCC separately. 

Realising there was significant cross over between the two services, NHS England and the OPPC commissioned a Health Needs Assessment in November 2016 to look across the provision available for vulnerable people entering the criminal justice pathway. One of the clear recommendations coming out of the needs assessment was for a single, integrated service to be commissioned. Working on this recommendation, a 12 week stakeholder consultation period commenced in June 2017. The findings of which helped to shape and inform the specification for the Custody and Courts Referral Service being commissioned.  

In developing a single, integrated service, the Commissioners are clear that efficiencies will be made, duplication removed and a more effective service will be delivered to vulnerable individuals.

The aim of the Custody and Courts Referral Service is to provide early intervention for vulnerable people (both adults and children and young people) as they come to the attention of the criminal justice system.  The service will provide a prompt response to concerns raised by the police, youth offending teams or court staff, and provide critical information to decision-makers in the justice system, in real time, when it comes to charging and sentencing these vulnerable people.  The service will also act as a point of referral and assertive follow up for these services users, to ensure they can access, and are supported to attend, treatment and rehabilitation appointments.

The contract duration will be for 5 years, with a commencement date of 1st April 2018.

The annual contract value is a range of £1,800,000.00 to a maximum of £1,950,000.00 (ex. VAT).

Over the lifetime of the contract the Commissioners are keen to introduce a deferred charging scheme, along the lines of the Durham Checkpoint scheme. This would require the successful provider to work jointly with Avon and Somerset Constabulary and other partners to develop and implement such a scheme. Bidders should refer to the service specification for further information"
"London Borough of Barking and Dagenham","Barking and Dagenham Young People & Adults Integrated Substance Misuse Service",9759035,"The Council is tendered and awarded a contract for Substance Misuse Services. The service is split into Lots as below;

Lot 1 - Barking and Dagenham Subwize Young People Integrated Substance Misuse (Drug and Alcohol) Service

Lot 2- Barking and Dagenham Adults Integrated Substance Misuse (Drug and Alcohol) Service"
"North Somerset Council","Adult Community Based Drug & Alcohol Treatment Service",10150000,"The Service will provide both pharmacological and psychosocial programmes for the addiction and dependence
to illicit substances and alcohol.
The Service will continue to have the overarching aim of reducing the harms caused by drug and alcohol use.
More specifically it will; prevent early mortality caused by drug and alcohol use; reduce levels of dependence;
reduce levels of drug and alcohol crime; reduce demand on social care; improve the lives of children of
parents with drug or alcohol problems; reduce the spread of infections associated with drug use; reduce
hospital admissions and increase the number of people entering employment and positively contributing to
the community. The Service will be key in supporting the attainment of the Government's goals of eradicating
homelessness and Hepatitis C.
The Service will target the full spectrum of substance use problems, from 'recreational' drug use and lower risk
alcohol consumption to severe poly-substance dependence. This broad focus will be reflected in the Service
adopting and combining both the harm reduction and recovery approaches to service delivery. It is expected that
the new Service will increase the level of attention given to early interventions (i.e. primary prevention).
The Service will continue to provide, within the scope of available funds, a holistic programme of treatment
and support, this will include such things as support for families and carers, physical health care, mental health
support, and access to training and employment programmes.
The Contract Manager has been working closely with a significant number of stakeholders involved to create
a specification that not only reflects the new budgetary requirements but allows the providers to consider how
they might best meet the outcomes defined by the Contract Manager. The specification will therefore be a hybrid
version of a requirement based specification and an outcome based specification. The Council believes that
Providers are best placed to design the service that best supports the required contract outcomes within the
parameters of the fixed contract price. 
The contract outcomes that the Council is seeking to achieve are detailed within the tender documents which are freely available on our procurement portal www.supplyingthesouthwest.org.uk. The contract term is 5 years with options to extend by a further 2 years. The contract start date is April 2020. All communication with regards this opportunity must be made via our procurement portal. This tender will be made public on Wednesday 4 September via our procurement portal www.supplyingthesouthwest.org.uk
"
"GOVERNMENT OF GIBRALTAR","Tender for the Provision of Domiciliary and Home Support Services for the Care Agency (Light Touch Regime)",12000000,"This tender is being advertised in 2 (two) lots, namely:

Lot 1 - Domiciliary Care - the tasks consist of providing basic personal care i.e. washing, showering, dressing, mainly for the elderly and frail with mobility problems.

Lot 2 - Home Support - is for vulnerable adults with more complex needs, including poor mental health, degenerative medical conditions, personality disorders, learning difficulties, addiction issues etc. they are generally a younger cohort of clients requiring a different or additional range of support tasks.

Economic operators may be for one or more lots, similarly the contracting authority may award the lots to one or more economic operators.

Economic operators may apply through HM Government of Gibraltar's Supplier Network Portal: https://hmgogsupplier.gibraltar.gov.gi"
"HAMPSHIRE COUNTY COUNCIL","Support and Enablement Service North East Hampshire",12165344,"The Council requires a range of effective Support and Enablement Services across North East Hampshire. The Service Provider will work closely with the Council to develop an effective enablement offer that is outcomes focused and able to meet a variety of needs. 
The Service will be directed at Adults aged between 18-65 inclusive of young Service Users coming through transition (18 plus). Service includes Service Users with Learning Disability, Physical Disability, Mental Health issues, Substance Use issues and Autism Spectrum Conditions. Access to the services will be via a Care Act 2014 assessment. Most Service Users will be those who live at home with family or other carers or who live on their own. Some may have recently followed some level of transition where they have 'stepped down' from other accommodation-based services such as supported housing, extra care or residential care into their own accommodation.
Our overall approach is characterised by innovation and partnership working. It is important for the Council to have Service Providers that genuinely work in partnership with Service Users and the Council and who actively explore, present and deliver service innovations that better meet the needs of Service Users, the Service Provider and the Council. The Service will be person-centred and build on the strengths and assets of Service Users to create sustainable care and support solutions in community settings. These services will provide regulated activity, as well as a variety of skills development, vocational, occupational, social and leisure activities. Although 
the Service is not an assumed pathway for Service Users, there will be opportunities for deployment, so some Service Users may access more than one of the three contract areas. We recognise that services will change and evolve during the life of the contract, this requires organisations to work together in partnership. The Council requires a pro-active approach which embraces innovation 
including a digital offer that can help support this principle.

Only bidders who have been accepted on to the Hampshire Accommodation Development and Support Options Model (HADSOM) - Support and Care are eligible to apply to the call-off."
"Thurrock Council","Thurrock Integrated Adults' and Young Persons' Substance Misuse Treatment Service - AWARD",12534679.5,"The Council's requirement under this Contract is for a single Provider to deliver an Integrated Adults' and Young Person's Drug and Alcohol Misuse Treatment Service in Thurrock. Please refer to the specification for further information on the service requirements.
      
      The contract is for a period of five years with the option to extend by up to a further four years. Please note the estimated contract value includes the full nine years - further information on the contract value and maximum threshold can be found in the tender documentation."
"London Borough of Bromley","Bromley Substance Misuse Service",13744000,"Tenders are invited by Bromley Council from potential Providers with relevant experience and ability to deliver Bromley's Substance Misuse Services for Adults and Young People.	\r
The new service will deliver substance misuse prevention and treatment services to adults and young people.  While the adults and young people's service will be delivered independently of each other, the combined service will provide continuity of care and have a strong presence and identity in the borough.\r
Bromley Council would like to commission a world class service a that can deliver the following key elements to young people and adults:\r
â€¢	Prevention\r
â€¢	Identification and Engagement\r
â€¢	Treatment and Recovery\r
â€¢	Aftercare and Reintegration\r
Partnership working will be integral particularly in working with the wider health and social care systems. The Provider will work with partners around early identification and intervention as well as aftercare to improve outcomes for service users.\r
Providers must be innovative, flexible, responsive and leaders in the field. They must be forward thinking, adaptable and able to respond to the changing needs and changing landscape of substance misuse treatment and service provision.\r
"
"Shropshire Council","DMC 114 - Recovery Orientated Substance Misuse Services",14500000,"Health and social work services. This was a notice for social and specific services in accordance with Directive 2014/24/EU, Article 74 Health and Social Related Services. Shropshire Council was seeking a service provider to provide a recovery orientated substance misuse service to serve the administrative County of Shropshire. 
The contract was for the provision of a specialist community drug and alcohol treatment service for adults and young people including all aspects of community provision to support recovery and excluding the provision of residential rehabilitation, inpatient detoxification and community pharmacy services.  

The contract is for an initial period of three years with an option to extend for further 12 month periods up to a maximum of a further 2 years."
"Cheshire East Borough Council","Cheshire East Substance Misuse Service",14664960,"A recovery-orientated, integrated, community substance misuse treatment service for adults and young people in Cheshire East."
"Telford & Wrekin Council","Substance misuse Treatment and Recovery Service (Telford STARS)",16473500,"Text to be corrected in the original notice:
        Place of text to be modified: V.2.1 Date of conclusion of the contract
        Instead of: 
        Read: 
        Other additional information: The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.
        New Substance misuse Treatment and Recovery service will provide a full range of interventions for adults and young people using drugs and/or alcohol. This will include working with individuals involved in the criminal justice system. 
        
        The service will closely integrate with other local services and support networks for children, adults and local communities in order to achieve the expected outcomes. The service will also provide an increased focus on prevention, community awareness, self-help and early intervention and will deliver innovative solutions to support this work."
"Wigan Council","167 - Drug and Alcohol Service for Adults and Young People",17450825,"The new integrated adult and young people substance misuse service will build on an existing recovery-oriented approach and work to achieve the local vision and outcomes outlined in the following Council strategies:
•	Deal for the Future
•	Deal for Health and Wellness
•	Deal for Adult Social Care and Health
•	Deal for Children and Young People
•	Deal for Communities
At the heart of the model is an asset-based approach that ensures the service provides a bespoke response to each individual that appropriately reflects the level of support needed. The service will employ a preventative and early help approach with an emphasis on harm reduction with timely and efficient clinical intervention. The service will provide support for all drugs.
The drug and alcohol service will have designated workers across a range of practice disciplines attached to each of the seven service delivery footprints (SDF) with an expectation that they understand their community and connect to it as part of the commitment to The Deal and operate from locations in that area such as in primary care and community hubs."
"WIGAN COUNCIL","Drug & Alcohol Service for Adults and Young People",17450825,"The new integrated adult and young people substance misuse service will build on an existing recovery-oriented approach and work to achieve the local vision and outcomes outlined in the following Council strategies:
•	Deal for the Future
•	Deal for Health and Wellness
•	Deal for Adult Social Care and Health
•	Deal for Children and Young People
•	Deal for Communities
At the heart of the model is an asset-based approach that ensures the service provides a bespoke response to each individual that appropriately reflects the level of support needed. The service will employ a preventative and early help approach with an emphasis on harm reduction with timely and efficient clinical intervention. The service will provide support for all drugs."
"OFCOM","Ofcom Market Research Framework 2024 - 2028",20000000,"Ofcom is tendering for a Market Research Framework. Ofcom's Market Research team commissions primary research projects and services, working with a range of teams across the organisation, including Economics and Analytics, Networks and Communications, Broadcasting and Media Policy, Spectrum, Strategy & Policy and Online Safety. We require suppliers that can deliver high quality market research projects, with findings suitable for publication, following industry best practice. Examples of our work can be located on the Market Research section of the Ofcom website: https://www.ofcom.org.uk/research-and-data 

There will be six Market Research Lots in the new framework for the provision of standard market research services, each of which relate to a broad area of standard research expertise; Quantitative (Adults), Qualitative (Adults), Qualitative (Adults minority groups), Children's Research (Qualitative and Quantitative), Online omnibus/ panel and Behavioural Insight."
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","NHS England and NHS Improvement South East -Healthcare Services at Gatwick Immigration Removal Centre (Brook House and Tinsley House)",20310050,"NHS England and NHS Improvement South (South East) (NHSE/I) is seeking to recommission healthcare services at Gatwick Immigration Removal Centre (IRC). Gatwick IRC provides primary medical services to people who are detained whilst awaiting deportation from the United Kingdom. The IRC has two sites closely located: Brook House and Tinsley House.

Interested providers should have the capacity and capability to provide an outcome focused, integrated primary healthcare service, equivalent to that available to the local community, for Gatwick IRC. The service will deliver a comprehensive range of services in-house, to include physical health, mental health and substance misuse services.

NHS England are re-commissioning this service using a prime provider model, in order to support integrated, patient centred care across the full range of service specialties required to manage the complex healthcare needs of those in the IRC setting.  

NHS England will hold a contract with the prime provider, who in turn can directly provide care and/or subcontract care to other specialist providers.  The prime provider will be responsible for ensuring that all healthcare services operating within the IRC work in an integrated way, delivering seamless care pathways.

Brook House has an operational capacity of 448. It has a robust secure physical environment including a separation unit and holds a male population, many with complex needs. Tinsley House has an operational capacity of 162 beds and holds predominantly young men, although children and women are also detained in its family unit, which has a capacity of 16 beds in Pre-Departure Accommodation and Boarders Apartments. Both Brook House and Tinsley House have a high turnover of arrivals and departures each month.

It is recognised that this is a significant time of change and transition in terms of NHSE/I commissioning pathways, the Home Office review of detention enforcement policies, and the impact of COVID-19, all of which require excellent partnership working.

The services included in the contract are:
•	GP provision
•	Primary care nursing and admin services
•	Pharmacy services (including mechanism for OOH provision)
•	Substance misuse services 
•	Reception and transfer screening
•	Rule 34 and 35 assessment
•	Public health testing and screening
•	Optometry
•	Physiotherapy 
•	Podiatry
•	Primary and secondary mental health and learning disability services
•	Sexual health services
•	Health promotion and prevention
•	Dental services (room identified for use)
•	Continuity of care including discharge planning and delivery of the RECONNECT programme
•	Application of Detention Service Orders as they relate to health provision.  

The Commissioner will be contracting for the services using the National NHS Standard Contract. Contracts will be for a term of 7 years and are planned to commence from 1st September 2021. The maximum value of the contract will be £20,310,050 over the seven years."
"Lancashire County Council","Lancashire Tier 4 Substance Misuse Framework",21000000,"Please note: The tender return date has been changed from 10:00am on 29/05/2015 to 10:00am on 12/06/2015.
This tender concerns the provision of health and social care services to adults with substance misuse problems, who reside within the Lancashire County Council area.  
Lancashire County Council (LCC) is dedicated to the provision of high quality tier 4 substance misuse services which deliver both a high percentage of positive outcomes for service users and offer strong value for money.  
By procuring the detoxification and rehabilitation elements of the tier 4 Services through a single process, LCC will produce an integrated service which offers best value for money and an effective and choice-promoting service to its communities.
To achieve this, LCC is seeking to procure the following services, by undertaking a competitive tender process broadly following the public contract regulations 2015.

The full details include services set out within the Service Specifications, but some broad aims of the service(s) include:
• To assist drug and alcohol users who wish to abstain from using drugs and alcohol;
• To assist service users to remain healthy and achieve a drug/alcohol-free life;
• To assist the service users to effectively identify and achieve their recovery goals;
• To maximise treatment gains and enable re-integration into local communities;
• To improve overall personal, social and family functioning;
• To promote the principles of choice and accessibility in line with the National Drug Strategy (2010);
• To assess the possible risks to health and safety of children living with problem drug/alcohol users through the service user's initial and subsequent assessments. To refer to appropriate support agencies;
• To assess the possible risks to health and safety of an unborn child/children who would be living with problem drug/alcohol users through the service user's initial and subsequent assessments and to refer to appropriate support agencies;
• To reduce the dangers associated with Blood Borne Viruses including the risks of HIV, hepatitis A, B and C and other blood borne infections and promote treatment for alcohol-related illness and disease;
• To introduce service users to a variety of options of mutual aid with full explanations in order for them to make an informed choice;
• To promote participation in the growing the recovery community;
• To encourage and facilitate the individuals to return to their communities of residence;
• To meet health and social care needs;
• To maximise value for money."
"Dorset Council","Integrated All Age Substance Misuse Treatment and Recovery Service",22955401.87,"Public Health Dorset is seeking to establish a provider for their Integrated All Age Substance Misuse Treatment and Recovery services for adults and young people with problematic substance use for Dorset Council residents.\r
\r
The provision of these services supports the ambition set out in the Government 10-year National Drug Plan From Harm to Hope 2021 to deliver world class treatment and recovery services that support and assist service users to implement meaningful change in their lives and make positive contributions to society and their local community.\r
\r
The scope of the future service will mirror existing provision but will incorporate changes to legislation and national strategies respond to evidence of population needs and trends as well as the learning from delivering integrated provision during the pandemic.  In principle this will be a core treatment and support service for adults and young people including the prescribing service.  The contract will also incorporate recent developments in the service as a result of grant funding from the Office for Health Improvement and Disparities.\r
\r
The initial contract period is for six years and five months with an optional extension of 24 months making a total potential contract duration of eight years and five months from 1st November 2023 until 31st March 2032.\r
\r
The opportunity can be found here www.supplyingthesouthwest.org.uk"
